category_number,drxfcsd,level,parent,max_level_by_num,max_level_skips,ancestors,branch
11411300,"yogurt, nonfat milk, plain",4,1820,4,4,"0,1820,1800,1","0,1820,1800,1,11411300"
11411390,"yogurt, greek, ns as to type of milk, plain",4,1822,4,4,"0,1822,1800,1","0,1822,1800,1,11411390"
11411400,"yogurt, greek, whole milk, plain",4,1822,4,4,"0,1822,1800,1","0,1822,1800,1,11411400"
11411410,"yogurt, greek, low fat milk, plain",4,1822,4,4,"0,1822,1800,1","0,1822,1800,1,11411410"
11411420,"yogurt, greek, nonfat milk, plain",4,1822,4,4,"0,1822,1800,1","0,1822,1800,1,11411420"
11430000,"yogurt, ns as to type of milk, fruit",4,1820,4,4,"0,1820,1800,1","0,1820,1800,1,11430000"
11431000,"yogurt, whole milk, fruit",4,1820,4,4,"0,1820,1800,1","0,1820,1800,1,11431000"
11432000,"yogurt, low fat milk, fruit",4,1820,4,4,"0,1820,1800,1","0,1820,1800,1,11432000"
11433000,"yogurt, nonfat milk, fruit",4,1820,4,4,"0,1820,1800,1","0,1820,1800,1,11433000"
11433990,"yogurt, greek, ns as to type of milk, fruit",4,1822,4,4,"0,1822,1800,1","0,1822,1800,1,11433990"
11434000,"yogurt, greek, whole milk, fruit",4,1822,4,4,"0,1822,1800,1","0,1822,1800,1,11434000"
11434010,"yogurt, greek, low fat milk, fruit",4,1822,4,4,"0,1822,1800,1","0,1822,1800,1,11434010"
11434020,"yogurt, greek, nonfat milk, fruit",4,1822,4,4,"0,1822,1800,1","0,1822,1800,1,11434020"
11434090,"yogurt, ns as to type of milk, flavors other than fruit",4,1820,4,4,"0,1820,1800,1","0,1820,1800,1,11434090"
11434100,"yogurt, whole milk, flavors other than fruit",4,1820,4,4,"0,1820,1800,1","0,1820,1800,1,11434100"
11434200,"yogurt, low fat milk, flavors other than fruit",4,1820,4,4,"0,1820,1800,1","0,1820,1800,1,11434200"
11434300,"yogurt, nonfat milk, flavors other than fruit",4,1820,4,4,"0,1820,1800,1","0,1820,1800,1,11434300"
11435000,"yogurt, greek, ns as to type of milk, flavors other than fruit",4,1822,4,4,"0,1822,1800,1","0,1822,1800,1,11435000"
11435010,"yogurt, greek, whole milk, flavors other than fruit",4,1822,4,4,"0,1822,1800,1","0,1822,1800,1,11435010"
11435020,"yogurt, greek, low fat milk, flavors other than fruit",4,1822,4,4,"0,1822,1800,1","0,1822,1800,1,11435020"
11435030,"yogurt, greek, nonfat milk, flavors other than fruit",4,1822,4,4,"0,1822,1800,1","0,1822,1800,1,11435030"
11435100,"yogurt, greek, with oats",4,1822,4,4,"0,1822,1800,1","0,1822,1800,1,11435100"
11436000,"yogurt, liquid",4,1820,4,4,"0,1820,1800,1","0,1820,1800,1,11436000"
11440010,"chipotle dip, yogurt based",4,8412,4,3,"0,8412,12","0,8412,12,11440010"
11440020,"dill dip, yogurt based",4,8412,4,3,"0,8412,12","0,8412,12,11440020"
11440030,"onion dip, yogurt based",4,8412,4,3,"0,8412,12","0,8412,12,11440030"
11440040,"ranch dip, yogurt based",4,8412,4,3,"0,8412,12","0,8412,12,11440040"
11440050,"spinach dip, yogurt based",4,8412,4,3,"0,8412,12","0,8412,12,11440050"
11440060,tzatziki dip,4,8412,4,3,"0,8412,12","0,8412,12,11440060"
11440070,"vegetable dip, yogurt based",4,8412,4,3,"0,8412,12","0,8412,12,11440070"
11444000,"yogurt, fruit and nuts, ns as to type of milk",4,1804,4,4,"0,1804,1800,1","0,1804,1800,1,11444000"
11445000,"yogurt, fruit and nuts, lowfat milk",4,1804,4,4,"0,1804,1800,1","0,1804,1800,1,11445000"
11446000,"yogurt parfait, low fat, with fruit",4,1820,4,4,"0,1820,1800,1","0,1820,1800,1,11446000"
11459990,"frozen yogurt, nfs",4,5802,4,4,"0,5802,5800,5","0,5802,5800,5,11459990"
11460000,"frozen yogurt, vanilla",4,5802,4,4,"0,5802,5800,5","0,5802,5800,5,11460000"
11460100,"frozen yogurt, chocolate",4,5802,4,4,"0,5802,5800,5","0,5802,5800,5,11460100"
11460150,"yogurt, frozen, ns as to flavor, lowfat milk",4,5802,4,4,"0,5802,5800,5","0,5802,5800,5,11460150"
11460160,"yogurt, frozen, chocolate, lowfat milk",4,5802,4,4,"0,5802,5800,5","0,5802,5800,5,11460160"
11460170,"yogurt, frozen, flavors other than chocolate, lowfat milk",4,5802,4,4,"0,5802,5800,5","0,5802,5800,5,11460170"
11460190,"yogurt, frozen, ns as to flavor, nonfat milk",4,5802,4,4,"0,5802,5800,5","0,5802,5800,5,11460190"
11460200,"yogurt, frozen, chocolate, nonfat milk",4,5802,4,4,"0,5802,5800,5","0,5802,5800,5,11460200"
11460250,"yogurt, frozen, flavors other than chocolate, with sorbet or sorbet-coated",4,5802,4,4,"0,5802,5800,5","0,5802,5800,5,11460250"
11460300,"yogurt, frozen, flavors other than chocolate, nonfat milk",4,5802,4,4,"0,5802,5800,5","0,5802,5800,5,11460300"
11460400,"yogurt, frozen, chocolate, nonfat milk, with low-calorie sweetener",4,5802,4,4,"0,5802,5800,5","0,5802,5800,5,11460400"
11460410,"yogurt, frozen, flavors other than chocolate, nonfat milk, with low-calorie sweetener",4,5802,4,4,"0,5802,5800,5","0,5802,5800,5,11460410"
11460420,"yogurt, frozen, ns as to flavor, whole milk",4,5802,4,4,"0,5802,5800,5","0,5802,5800,5,11460420"
11460430,"yogurt, frozen, chocolate, whole milk",4,5802,4,4,"0,5802,5800,5","0,5802,5800,5,11460430"
11460440,"yogurt, frozen, flavors other than chocolate, whole milk",4,5802,4,4,"0,5802,5800,5","0,5802,5800,5,11460440"
11460500,"frozen yogurt, soft serve, vanilla",4,5802,4,4,"0,5802,5800,5","0,5802,5800,5,11460500"
11460510,"frozen yogurt, soft serve, chocolate",4,5802,4,4,"0,5802,5800,5","0,5802,5800,5,11460510"
11461000,"yogurt, frozen, chocolate-coated",4,5802,4,4,"0,5802,5800,5","0,5802,5800,5,11461000"
11461100,"yogurt, frozen, carob-coated",4,5802,4,4,"0,5802,5800,5","0,5802,5800,5,11461100"
11461200,frozen yogurt sandwich,4,5802,4,4,"0,5802,5800,5","0,5802,5800,5,11461200"
