category_number,drxfcsd,level,parent,max_level_by_num,max_level_skips,ancestors,branch
27564140,"frankfurter or hot dog sandwich, beef and pork, plain, on wheat bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564140"
27564150,"frankfurter or hot dog sandwich, beef and pork, plain, on whole wheat bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564150"
27564160,"frankfurter or hot dog sandwich, beef and pork, plain, on whole grain white bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564160"
27564170,"frankfurter or hot dog sandwich, beef and pork, plain, on multigrain bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564170"
27564180,"frankfurter or hot dog sandwich, meat and poultry, plain, on white bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564180"
27564181,"frankfurter or hot dog sandwich, meat and poultry, plain, on wheat bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564181"
27564182,"frankfurter or hot dog sandwich, meat and poultry, plain, on whole wheat bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564182"
27564183,"frankfurter or hot dog sandwich, meat and poultry, plain, on whole grain white bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564183"
27564184,"frankfurter or hot dog sandwich, meat and poultry, plain, on multigrain bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564184"
27564190,"frankfurter or hot dog sandwich, meat and poultry, plain, on white bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564190"
27564200,"frankfurter or hot dog sandwich, meat and poultry, plain, on wheat bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564200"
27564210,"frankfurter or hot dog sandwich, meat and poultry, plain, on whole wheat bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564210"
27564220,"frankfurter or hot dog sandwich, meat and poultry, plain, on whole grain white bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564220"
27564230,"frankfurter or hot dog sandwich, meat and poultry, plain, on multigrain bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564230"
27564240,"frankfurter or hot dog sandwich, chicken and/or turkey, plain, on white bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564240"
27564241,"frankfurter or hot dog sandwich, chicken and/or turkey, plain, on wheat bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564241"
27564242,"frankfurter or hot dog sandwich, chicken and/or turkey, plain, on whole wheat bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564242"
27564243,"frankfurter or hot dog sandwich, chicken and/or turkey, plain, on whole grain white bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564243"
27564244,"frankfurter or hot dog sandwich, chicken and/or turkey, plain, on multigrain bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564244"
27564250,"frankfurter or hot dog sandwich, chicken and/or turkey, plain, on white bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564250"
27564260,"frankfurter or hot dog sandwich, chicken and/or turkey, plain, on wheat bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564260"
27564270,"frankfurter or hot dog sandwich, chicken and/or turkey, plain, on whole wheat bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564270"
27564280,"frankfurter or hot dog sandwich, chicken and/or turkey, plain, on whole grain white bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564280"
27564290,"frankfurter or hot dog sandwich, chicken and/or turkey, plain, on multigrain bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564290"
27564300,"frankfurter or hot dog sandwich, reduced fat or light, plain, on white bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564300"
27564301,"frankfurter or hot dog sandwich, reduced fat or light, plain, on wheat bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564301"
27564302,"frankfurter or hot dog sandwich, reduced fat or light, plain, on whole wheat bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564302"
27564303,"frankfurter or hot dog sandwich, reduced fat or light, plain, on whole grain white bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564303"
27564304,"frankfurter or hot dog sandwich, reduced fat or light, plain, on multigrain bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564304"
27564310,"frankfurter or hot dog sandwich, reduced fat or light, plain, on white bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564310"
27564320,"frankfurter or hot dog sandwich, reduced fat or light, plain, on wheat bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564320"
27564330,"frankfurter or hot dog sandwich, reduced fat or light, plain, on whole wheat bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564330"
27564340,"frankfurter or hot dog sandwich, reduced fat or light, plain, on whole grain white bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564340"
27564350,"frankfurter or hot dog sandwich, reduced fat or light, plain, on multigrain bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564350"
27564360,"frankfurter or hot dog sandwich, fat free, plain, on white bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564360"
27564361,"frankfurter or hot dog sandwich, fat free, plain, on wheat bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564361"
27564362,"frankfurter or hot dog sandwich, fat free, plain, on whole wheat bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564362"
27564363,"frankfurter or hot dog sandwich, fat free, plain, on whole grain white bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564363"
27564364,"frankfurter or hot dog sandwich, fat free, plain, on multigrain bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564364"
27564370,"frankfurter or hot dog sandwich, fat free, plain, on white bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564370"
27564380,"frankfurter or hot dog sandwich, fat free, plain, on wheat bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564380"
27564390,"frankfurter or hot dog sandwich, fat free, plain, on whole wheat bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564390"
27564400,"frankfurter or hot dog sandwich, fat free, plain, on whole grain white bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564400"
27564410,"frankfurter or hot dog sandwich, fat free, plain, on multigrain bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564410"
27564418,"frankfurter or hot dog sandwich, reduced sodium",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564418"
27564420,"frankfurter or hot dog sandwich, meatless, plain, on bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564420"
27564430,"frankfurter or hot dog sandwich, meatless, plain, on bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564430"
27564440,"frankfurter or hot dog sandwich, with chili, on white bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564440"
27564441,"frankfurter or hot dog sandwich, with chili, on wheat bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564441"
27564442,"frankfurter or hot dog sandwich, with chili, on whole wheat bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564442"
27564443,"frankfurter or hot dog sandwich, with chili, on whole grain white bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564443"
27564444,"frankfurter or hot dog sandwich, with chili, on multigrain bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564444"
27564450,"frankfurter or hot dog sandwich, with chili, on white bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564450"
27564460,"frankfurter or hot dog sandwich, with chili, on wheat bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564460"
27564470,"frankfurter or hot dog sandwich, with chili, on whole wheat bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564470"
27564480,"frankfurter or hot dog sandwich, with chili, on whole grain white bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564480"
27564490,"frankfurter or hot dog sandwich, with chili, on multigrain bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564490"
27564500,"frankfurter or hot dog sandwich, with meatless chili, on white bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564500"
27564501,"frankfurter or hot dog sandwich, with meatless chili, on wheat bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564501"
27564502,"frankfurter or hot dog sandwich, with meatless chili, on whole wheat bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564502"
27564503,"frankfurter or hot dog sandwich, with meatless chili, on whole grain white bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564503"
27564504,"frankfurter or hot dog sandwich, with meatless chili, on multigrain bun",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564504"
27564510,"frankfurter or hot dog sandwich, with meatless chili, on white bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564510"
27564520,"frankfurter or hot dog sandwich, with meatless chili, on wheat bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564520"
27564530,"frankfurter or hot dog sandwich, with meatless chili, on whole wheat bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564530"
27564540,"frankfurter or hot dog sandwich, with meatless chili, on whole grain white bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564540"
27564550,"frankfurter or hot dog sandwich, with meatless chili, on multigrain bread",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564550"
27564560,"frankfurter or hot dog sandwich, meatless, on bun, with meatless chili",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564560"
27564570,"frankfurter or hot dog sandwich, meatless, on bread, with meatless chili",4,3703,4,4,"0,3703,3700,3","0,3703,3700,3,27564570"
27570310,"hors d'oeuvres, with spread",4,3708,4,4,"0,3708,3700,3","0,3708,3700,3,27570310"
27601000,"beef stew, baby food, toddler",4,9008,4,4,"0,9008,9000,14","0,9008,9000,14,27601000"
27610100,"beef and egg noodles, baby food, ns as to strained or junior",4,9008,4,4,"0,9008,9000,14","0,9008,9000,14,27610100"
27610110,"beef and egg noodles, baby food, strained",4,9008,4,4,"0,9008,9000,14","0,9008,9000,14,27610110"
27610120,"beef and egg noodles, baby food, junior",4,9008,4,4,"0,9008,9000,14","0,9008,9000,14,27610120"
27610710,"beef with vegetables, baby food, strained",4,9008,4,4,"0,9008,9000,14","0,9008,9000,14,27610710"
27610730,"beef with vegetables, baby food, toddler",4,9008,4,4,"0,9008,9000,14","0,9008,9000,14,27610730"
27640050,"chicken and rice dinner, baby food, strained",4,9008,4,4,"0,9008,9000,14","0,9008,9000,14,27640050"
27640100,"chicken noodle dinner, baby food, ns as to strained or junior",4,9008,4,4,"0,9008,9000,14","0,9008,9000,14,27640100"
27640110,"chicken noodle dinner, baby food, strained",4,9008,4,4,"0,9008,9000,14","0,9008,9000,14,27640110"
27640120,"chicken noodle dinner, baby food, junior",4,9008,4,4,"0,9008,9000,14","0,9008,9000,14,27640120"
27640810,"chicken, noodles, and vegetables, baby food, toddler",4,9008,4,4,"0,9008,9000,14","0,9008,9000,14,27640810"
27641000,"chicken stew, baby food, toddler",4,9008,4,4,"0,9008,9000,14","0,9008,9000,14,27641000"
27642100,"turkey, rice and vegetables, baby food, ns as to strained or junior",4,9008,4,4,"0,9008,9000,14","0,9008,9000,14,27642100"
27642110,"turkey, rice and vegetables, baby food, strained",4,9008,4,4,"0,9008,9000,14","0,9008,9000,14,27642110"
27642120,"turkey, rice and vegetables, baby food, junior",4,9008,4,4,"0,9008,9000,14","0,9008,9000,14,27642120"
27642130,"turkey, rice, and vegetables, baby food, toddler",4,9008,4,4,"0,9008,9000,14","0,9008,9000,14,27642130"
27644110,"chicken soup, baby food",4,9008,4,4,"0,9008,9000,14","0,9008,9000,14,27644110"
28101000,"frozen dinner, nfs",4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28101000"
28110000,"beef dinner, nfs, frozen meal",4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28110000"
28110120,"beef with potatoes (frozen meal, large meat portion)",4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28110120"
28110150,"beef with vegetable, diet frozen meal",4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28110150"
28110200,"sirloin, chopped, dinner, nfs (frozen meal)",4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28110200"
28110220,"sirloin, chopped, with gravy, mashed potatoes, vegetable, frozen meal",4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28110220"
28110250,"sirloin tips, with gravy, potatoes, vegetable, frozen meal",4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28110250"
28110270,"sirloin beef, with gravy, potatoes, vegetable, frozen meal",4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28110270"
28110300,"salisbury steak dinner, nfs, frozen meal",4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28110300"
28110310,"salisbury steak with gravy, potatoes, vegetable, frozen meal",4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28110310"
28110330,"salisbury steak with gravy, whipped potatoes, vegetable, dessert, frozen meal",4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28110330"
28110340,"salisbury steak with gravy, potatoes, vegetable, soup or macaroni and cheese, dessert, frozen meal",4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28110340"
28110350,"salisbury steak with gravy, potatoes, vegetable, dessert, frozen meal",4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28110350"
28110370,"salisbury steak with gravy, macaroni and cheese, vegetable, frozen meal",4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28110370"
28110380,"salisbury steak with gravy, macaroni and cheese, frozen meal",4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28110380"
28110390,"salisbury steak, potatoes, vegetable, dessert, diet frozen meal",4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28110390"
28110510,"beef, sliced, with gravy, potatoes, vegetable, frozen meal",4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28110510"
28110620,"beef short ribs, boneless, with barbecue sauce, potatoes, vegetable, frozen meal",4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28110620"
28110640,"meatballs, swedish, in sauce, with noodles, frozen meal",4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28110640"
28110660,"meatballs, swedish, in gravy, with noodles, diet frozen meal",4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28110660"
28111010,"corned beef hash with apple slices, vegetable (frozen meal)",4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28111010"
28113110,"salisbury steak, baked, with tomato sauce, vegetable, diet frozen meal",4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28113110"
28113140,"beef with spaetzle or rice, vegetable, frozen meal",4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28113140"
28120310,"pork with rice, vegetable, in soy-based sauce (diet frozen meal)",4,3404,4,4,"0,3404,3400,3","0,3404,3400,3,28120310"
28130000,"veal dinner, nfs, frozen meal",4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28130000"
28133110,"veal, breaded, with spaghetti, in tomato sauce, frozen meal",4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28133110"
28133210,veal parmigiana with vegetable (diet frozen meal),4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28133210"
28133220,"veal with peppers in sauce, rice (diet frozen meal)",4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28133220"
28133340,"veal parmigiana with vegetable, fettuccine alfredo, dessert, frozen meal",4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28133340"
28140100,"chicken dinner, nfs, frozen meal",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28140100"
28140150,"chicken divan, frozen meal",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28140150"
28140250,"chicken, boneless, with gravy, dressing, rice, vegetable, dessert, frozen meal",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28140250"
28140320,"chicken and noodles with vegetable, dessert, frozen meal",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28140320"
28140710,"chicken, fried, with potatoes, vegetable, frozen meal",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28140710"
28140720,"chicken patty, or nuggets, boneless, breaded, potatoes, vegetable, frozen meal",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28140720"
28140730,"chicken patty, breaded, with tomato sauce and cheese, fettuccine alfredo, vegetable, frozen meal",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28140730"
28140740,"chicken patty or nuggets, boneless, breaded, with pasta and tomato sauce, fruit, dessert, frozen meal",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28140740"
28140810,"chicken, fried, with potatoes, vegetable, dessert, frozen meal",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28140810"
28140910,"chicken, fried, with potatoes, vegetable, cornbread, dessert (frozen meal)",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28140910"
28140920,"chicken, fried, with potatoes, vegetable, vegetable soup, dessert (frozen meal)",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28140920"
28141010,"chicken, fried, with potatoes, vegetable, dessert, frozen meal, large meat portion",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28141010"
28141050,"chicken patty parmigiana, breaded, with vegetable, diet frozen meal",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28141050"
28141201,"teriyaki chicken with rice and vegetable, diet frozen meal",4,3404,4,4,"0,3404,3400,3","0,3404,3400,3,28141201"
28141250,"chicken with rice and vegetable, diet frozen meal",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28141250"
28141300,"chicken with rice and vegetable, reduced fat and sodium (diet frozen meal)",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28141300"
28141600,"chicken a la king with rice, frozen meal",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28141600"
28141610,"chicken and vegetables in cream or white sauce, diet frozen meal",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28141610"
28141630,"chicken cordon bleu with vegetable, rice (frozen meal)",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28141630"
28141640,chicken kiev with rice-vegetable mixture (frozen meal),4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28141640"
28141650,"chicken and vegetables au gratin with rice, diet frozen entree",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28141650"
28143010,"chicken and vegetable entree with rice, oriental (frozen meal)",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28143010"
28143020,"chicken and vegetable entree with rice, diet frozen meal",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28143020"
28143030,"chicken and vegetable entree, oriental (diet frozen meal)",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28143030"
28143040,"chicken chow mein with rice, diet frozen meal",4,3402,4,4,"0,3402,3400,3","0,3402,3400,3,28143040"
28143050,"chicken chow mein with rice, reduced fat and sodium (diet frozen meal)",4,3402,4,4,"0,3402,3400,3","0,3402,3400,3,28143050"
28143080,"chicken with noodles and cheese sauce, diet frozen meal",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28143080"
28143110,"chicken cacciatore with noodles, diet frozen meal",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28143110"
28143130,"chicken and vegetable entree with noodles, frozen meal",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28143130"
28143150,"chicken and vegetable entree with noodles, diet frozen meal",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28143150"
28143170,"chicken in cream sauce with noodles and vegetable, frozen meal",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28143170"
28143180,"chicken in butter sauce with potatoes and vegetable, diet frozen meal",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28143180"
28143190,"chicken in mushroom sauce, white and wild rice, vegetable, frozen meal",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28143190"
28143200,"chicken in soy-based sauce, rice and vegetables, frozen meal",4,3404,4,4,"0,3404,3400,3","0,3404,3400,3,28143200"
28143210,"chicken in orange sauce with almond rice, diet frozen meal",4,3404,4,4,"0,3404,3400,3","0,3404,3400,3,28143210"
28143220,"chicken in barbecue sauce, with rice, vegetable and dessert, reduced fat and sodium (diet frozen meal)",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28143220"
28144100,"chicken and vegetable entree with noodles and cream sauce, frozen meal",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28144100"
28145000,"turkey dinner, nfs, frozen meal",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28145000"
28145100,"turkey with gravy, dressing, vegetable and fruit, diet frozen meal",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28145100"
28145110,"turkey with vegetable, stuffing, diet frozen meal",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28145110"
28145210,"turkey with gravy, dressing, potatoes, vegetable, frozen meal",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28145210"
28145610,"turkey with gravy, dressing, potatoes, vegetable, dessert, frozen meal",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28145610"
28145710,"turkey tetrazzini, frozen meal",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28145710"
28150000,"fish dinner, nfs (frozen meal)",4,3006,4,4,"0,3006,3000,3","0,3006,3000,3,28150000"
28150210,"haddock with chopped spinach, diet frozen meal",4,3006,4,4,"0,3006,3000,3","0,3006,3000,3,28150210"
28150220,"flounder with chopped broccoli, diet frozen meal",4,3006,4,4,"0,3006,3000,3","0,3006,3000,3,28150220"
28150230,turbot with vegetable (diet frozen meal),4,3006,4,4,"0,3006,3000,3","0,3006,3000,3,28150230"
28150240,sole with vegetable (diet frozen meal),4,3006,4,4,"0,3006,3000,3","0,3006,3000,3,28150240"
28150370,"flounder in cream sauce with potatoes, carrots (diet frozen meal)",4,3006,4,4,"0,3006,3000,3","0,3006,3000,3,28150370"
28150510,"fish in lemon-butter sauce with starch item, vegetable, frozen meal",4,3006,4,4,"0,3006,3000,3","0,3006,3000,3,28150510"
28150650,"fish, breaded, or fish sticks, with pasta, vegetable and dessert (frozen meal)",4,3006,4,4,"0,3006,3000,3","0,3006,3000,3,28150650"
28150810,"scallops with potatoes, vegetable (frozen meal)",4,3006,4,4,"0,3006,3000,3","0,3006,3000,3,28150810"
28150910,"shrimp with potatoes, vegetable (frozen meal)",4,3006,4,4,"0,3006,3000,3","0,3006,3000,3,28150910"
28152030,"seafood newburg with rice, vegetable (frozen meal)",4,3006,4,4,"0,3006,3000,3","0,3006,3000,3,28152030"
28152050,"shrimp with rice, vegetable (frozen meal)",4,3006,4,4,"0,3006,3000,3","0,3006,3000,3,28152050"
28153010,"shrimp and clams in tomato-based sauce, with noodles, frozen meal",4,3006,4,4,"0,3006,3000,3","0,3006,3000,3,28153010"
28154010,"shrimp and vegetables in sauce with noodles, diet frozen meal",4,3006,4,4,"0,3006,3000,3","0,3006,3000,3,28154010"
28160300,"meat loaf dinner, nfs, frozen meal",4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28160300"
28160310,"meat loaf with potatoes, vegetable, frozen meal",4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28160310"
28160650,"stuffed green pepper, frozen meal",4,6422,4,4,"0,6422,6400,7","0,6422,6400,7,28160650"
28160660,stuffed green pepper (diet frozen meal),4,6422,4,4,"0,6422,6400,7","0,6422,6400,7,28160660"
28160710,"stuffed cabbage, with meat and tomato sauce, diet frozen meal",4,3002,4,4,"0,3002,3000,3","0,3002,3000,3,28160710"
28160810,"livers, chicken, with vegetable (diet frozen meal)",4,3004,4,4,"0,3004,3000,3","0,3004,3000,3,28160810"
28310110,"beef, broth, bouillon, or consomme",4,3802,4,3,"0,3802,3","0,3802,3,28310110"
28310120,"beef, broth, bouillon, or consomme, canned, low sodium",4,3802,4,3,"0,3802,3","0,3802,3,28310120"
28310130,"beef, broth, bouillon, or consomme, dry, not reconstituted",4,9999,4,3,"0,9999,15","0,9999,15,28310130"
28310140,"beef, broth, bouillon, or consomme, low sodium, dry, not reconstituted",4,9999,4,3,"0,9999,15","0,9999,15,28310140"
28310150,oxtail soup,4,3802,4,3,"0,3802,3","0,3802,3,28310150"
28310160,"beef broth, with tomato, home recipe",4,3802,4,3,"0,3802,3","0,3802,3,28310160"
28310170,"beef broth, without tomato, home recipe",4,3802,4,3,"0,3802,3","0,3802,3,28310170"
28310230,"meatball soup, home recipe, mexican style",4,3802,4,3,"0,3802,3","0,3802,3,28310230"
28310320,"beef noodle soup, puerto rican style",4,3802,4,3,"0,3802,3","0,3802,3,28310320"
28310330,pho,4,3802,4,3,"0,3802,3","0,3802,3,28310330"
28310420,"beef and rice soup, puerto rican style",4,3802,4,3,"0,3802,3","0,3802,3,28310420"
28311010,pepperpot soup,4,3802,4,3,"0,3802,3","0,3802,3,28311010"
28311020,"menudo soup, home recipe",4,3802,4,3,"0,3802,3","0,3802,3,28311020"
28311030,"menudo soup, canned, prepared with water or ready-to-serve",4,3802,4,3,"0,3802,3","0,3802,3,28311030"
28315050,"beef vegetable soup with potato, pasta, or rice, chunky style, canned, or ready-to-serve",4,3802,4,3,"0,3802,3","0,3802,3,28315050"
28315140,"beef vegetable soup, home recipe, mexican style",4,3802,4,3,"0,3802,3","0,3802,3,28315140"
28315150,"meat and corn hominy soup, home recipe, mexican style",4,3802,4,3,"0,3802,3","0,3802,3,28315150"
28315160,italian wedding soup,4,3802,4,3,"0,3802,3","0,3802,3,28315160"
28316020,"beef and mushroom soup, canned, low sodium",4,3802,4,3,"0,3802,3","0,3802,3,28316020"
28317010,"beef stroganoff soup, chunky style, home recipe, canned or ready-to-serve",4,3802,4,3,"0,3802,3","0,3802,3,28317010"
28320130,"ham, rice, and potato soup, puerto rican style",4,3802,4,3,"0,3802,3","0,3802,3,28320130"
28320140,"ham, noodle, and vegetable soup, puerto rican style",4,3802,4,3,"0,3802,3","0,3802,3,28320140"
28320160,"pork vegetable soup with potato, pasta, or rice, stew type, chunky style",4,3802,4,3,"0,3802,3","0,3802,3,28320160"
28320300,"pork with vegetable excluding carrots, broccoli and/or dark-green leafy; soup, asian style",4,3802,4,3,"0,3802,3","0,3802,3,28320300"
28321130,"bacon soup, cream of, prepared with water",4,3802,4,3,"0,3802,3","0,3802,3,28321130"
28330110,"scotch broth (lamb, vegetables, and barley)",4,3802,4,3,"0,3802,3","0,3802,3,28330110"
28331110,"lamb, pasta, and vegetable soup, puerto rican style",4,3802,4,3,"0,3802,3","0,3802,3,28331110"
28340110,"chicken or turkey broth, bouillon, or consomme",4,3802,4,3,"0,3802,3","0,3802,3,28340110"
28340120,"chicken or turkey broth, without tomato, home recipe",4,3802,4,3,"0,3802,3","0,3802,3,28340120"
28340130,"chicken or turkey broth, with tomato, home recipe",4,3802,4,3,"0,3802,3","0,3802,3,28340130"
28340140,"chicken broth, bouillion, or consomme, dry, not reconstituted",4,9999,4,3,"0,9999,15","0,9999,15,28340140"
28340150,mexican style chicken broth soup stock,4,3802,4,3,"0,3802,3","0,3802,3,28340150"
28340179,"beef broth, less or reduced sodium, canned or ready-to-serve",4,3802,4,3,"0,3802,3","0,3802,3,28340179"
28340180,"chicken or turkey broth, less or reduced sodium, canned or ready-to-serve",4,3802,4,3,"0,3802,3","0,3802,3,28340180"
28340210,"chicken rice soup, puerto rican style",4,3802,4,3,"0,3802,3","0,3802,3,28340210"
28340220,"chicken soup with noodles and potatoes, puerto rican style",4,3802,4,3,"0,3802,3","0,3802,3,28340220"
28340310,"chicken or turkey gumbo soup, home recipe, canned or ready-to-serve",4,3802,4,3,"0,3802,3","0,3802,3,28340310"
